rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.4,20000,40,36,2e+06,10,1,1,11.9999,12.9997,0,0.999735
0.5,20000,50,45,2e+06,10,1,1,11.9999,12.9997,0,0.999788
0.6,20000,60,54,2e+06,10,1,1,11.9999,12.9998,0,0.999823
0.7,210000,70,63,2e+06,10,1,1,12,12.9998,3.77742e-07,0.999856
0.8,20000,80,72,2e+06,10,1,1,12,12.9999,0,0.999868
0.9,210000,90,81,2e+06,10,1,1,12,12.9999,1.17573e-07,0.999888
1,20000,100,90,2e+06,10,1,1,12,12.9999,0,0.999894
1.1,20000,110,99,2e+06,10,1,1,12,12.9999,0,0.999904
1.2,210000,120,108,2e+06,10,1,1,12,12.9999,1.32279e-07,0.999916
1.3,210000,130,117,2e+06,10,1,1,12,12.9999,8.13749e-08,0.999923
1.4,20000,140,126,2e+06,10,1,1,12,12.9999,0,0.999924
1.5,20000,150,135,2e+06,10,1,1,12,12.9999,0,0.999929
1.6,20000,160,144,2e+06,10,1,1,12,12.9999,0,0.999934
1.7,220000,170,153,2e+06,10,1,1,12,12.9999,2.97041e-08,0.999941
1.8,20000,180,162,2e+06,10,1,1,12,12.9999,0,0.999941
1.9,220000,190,171,2e+06,10,1,1,12,12.9999,2.65691e-08,0.999947
2,210000,200,180,2e+06,10,1,1,12,13,5.29133e-08,0.99995
